FULL_NAME,id,STATE,YEAR_FOUNDED,ABBREVIATION,NICKNAME,CITY,LOGO_URL,TEAM_CONFERENCE
Atlanta Hawks,1610612737,Georgia,1949,ATL,Hawks,Atlanta,https://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo.png,East
Boston Celtics,1610612738,Massachusetts,1946,BOS,Celtics,Boston,https://loodibee.com/wp-content/uploads/nba-boston-celtics-logo.png,East
Cleveland Cavaliers,1610612739,Ohio,1970,CLE,Cavaliers,Cleveland,https://loodibee.com/wp-content/uploads/Clevelan-Cavaliers-logo-2022.png,East
New Orleans Pelicans,1610612740,Louisiana,2002,NOP,Pelicans,New Orleans,https://loodibee.com/wp-content/uploads/nba-new-orleans-pelicans-logo.png,West
Chicago Bulls,1610612741,Illinois,1966,CHI,Bulls,Chicago,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png,East
Dallas Mavericks,1610612742,Texas,1980,DAL,Mavericks,Dallas,https://loodibee.com/wp-content/uploads/dallas-mavericks-logo-symbol.png,West
Denver Nuggets,1610612743,Colorado,1976,DEN,Nuggets,Denver,https://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo-2018.png,West
Golden State Warriors,1610612744,California,1946,GSW,Warriors,Golden State,https://loodibee.com/wp-content/uploads/nba-golden-state-warriors-logo-2020.png,West
Houston Rockets,1610612745,Texas,1967,HOU,Rockets,Houston,https://loodibee.com/wp-content/uploads/houston-rockets-logo-symbol.png,West
Los Angeles Clippers,1610612746,California,1970,LAC,Clippers,Los Angeles,https://loodibee.com/wp-content/uploads/NBA-LA-Clippers-logo-2024.png,West
Los Angeles Lakers,1610612747,California,1948,LAL,Lakers,Los Angeles,https://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo.png,West
Miami Heat,1610612748,Florida,1988,MIA,Heat,Miami,https://loodibee.com/wp-content/uploads/miami-heat-logo-symbol.png,East
Milwaukee Bucks,1610612749,Wisconsin,1968,MIL,Bucks,Milwaukee,https://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo.png,East
Minnesota Timberwolves,1610612750,Minnesota,1989,MIN,Timberwolves,Minnesota,https://loodibee.com/wp-content/uploads/nba-minnesota-timberwolves-logo.png,West
Brooklyn Nets,1610612751,New York,1976,BKN,Nets,Brooklyn,https://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo.png,East
New York Knicks,1610612752,New York,1946,NYK,Knicks,New York,https://loodibee.com/wp-content/uploads/nba-new-york-knicks-logo.png,East
Orlando Magic,1610612753,Florida,1989,ORL,Magic,Orlando,https://loodibee.com/wp-content/uploads/orlando-magic-logo-symbol.png,East
Indiana Pacers,1610612754,Indiana,1976,IND,Pacers,Indiana,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png,East
Philadelphia 76ers,1610612755,Pennsylvania,1949,PHI,76ers,Philadelphia,https://loodibee.com/wp-content/uploads/nba-philadelphia-76ers-logo.png,East
Phoenix Suns,1610612756,Arizona,1968,PHX,Suns,Phoenix,https://loodibee.com/wp-content/uploads/phoenix-suns-2000-2013.png,West
Portland Trail Blazers,1610612757,Oregon,1970,POR,Trail Blazers,Portland,https://loodibee.com/wp-content/uploads/portland-trail-blazers-logo-symbol.png,West
Sacramento Kings,1610612758,California,1948,SAC,Kings,Sacramento,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png,West
San Antonio Spurs,1610612759,Texas,1976,SAS,Spurs,San Antonio,https://loodibee.com/wp-content/uploads/san-antonio-spurs-logo-symbol.png,West
Oklahoma City Thunder,1610612760,Oklahoma,1967,OKC,Thunder,Oklahoma City,https://loodibee.com/wp-content/uploads/oklahoma-city-thunder-logo-symbol.png,West
Toronto Raptors,1610612761,Ontario,1995,TOR,Raptors,Toronto,https://loodibee.com/wp-content/uploads/nba-toronto-raptors-logo-2020.png,East
Utah Jazz,1610612762,Utah,1974,UTA,Jazz,Utah,https://loodibee.com/wp-content/uploads/utah-jazz-logo-wordmark-2022.png,West
Memphis Grizzlies,1610612763,Tennessee,1995,MEM,Grizzlies,Memphis,https://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo.png,West
Washington Wizards,1610612764,District of Columbia,1961,WAS,Wizards,Washington,https://loodibee.com/wp-content/uploads/washington-wizards-logo-symbol.png,East
Detroit Pistons,1610612765,Michigan,1948,DET,Pistons,Detroit,https://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo.png,East
Charlotte Hornets,1610612766,North Carolina,1988,CHA,Hornets,Charlotte,https://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo.png,East
